Project Name,Project Description,Project Type,Project Manager,Region,Department, Project Cost , Project Benefit ,Complexity,Status,Completion%,Phase,Year,Month,Start Date,End Date
Rhinestone,Associations Now Is A Casual Game To Teach You How .Io Algorithmically Creates Content For You. It Is The World First Game For Content Marketing Education. Find Out How Your Topic Is Used In The Wild.,INCOME GENERATION,Yael Wilcox,North,Admin & BI,3648615,8443980,High,In - Progress,77%,Phase 4 - Implement,2021,2,2/1/2021,6/1/2021
A Triumph Of Softwares,Is A Fully Managed Content Marketing Software Deal For Saas Companies Who Want To Focus On Their Customers And The Big Idea In 2018.,INCOME GENERATION,Brenda Chandler,West,eCommerce,4018835,9012225,High,Cancelled,80%,Phase 2 - Develop,2021,3,3/1/2021,6/1/2021
The Blue Bird,"Most Content Marketers Know The Golden Rule: You Must Put Quality Content First. Is A Solution For Founders Who Want To Win At Content Marketing, And It Helps You Create Content Faster With State Of The Art Ai Generation. Our Proprietary Ai Analyzes The Content Of Your Competitors And Helps You Generate Optimized Content Faster.",INCOME GENERATION,Nyasia Hunter,North,Warehouse,4285483,9078339,High,Completed,100%,Phase 4 - Implement,2021,3,3/1/2021,6/1/2021
Remembering Our Ancestors,"Utilize And Utilizes (Verb Form) The Open, Inclusive, And Uncontrollable Content Marketplace To Make Your Brand The Top Content Site For Your Topic.",PROCESS IMPROVEMENT,Brenda Chandler,East,Sales and Marketing,5285864,8719006,High,Cancelled,75%,Phase 5 - Measure,2021,3,3/1/2021,6/1/2021
Skyhawks,"Is A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation.",WORKING CAPITAL IMPROVEMENT,Jaylyn Mckenzie,East,eCommerce,5785601,8630148,High,Completed,100%,Phase 1 - Explore,2021,3,3/1/2021,6/1/2021
The Coding Master,"Association Now Operates Like An Ai Editor, Working Invisibly Behind The Scenes To Help Brands Create Optimized Content. Associations Now Ai Platform Analyzes The Competition For Your Topic. When Your Ai Content Is Complete, It’S Custom-Printed, Personalized, And Delivered To Your Audience.",PROCESS IMPROVEMENT,Nyasia Hunter,West,Sales and Marketing,3326031,8504224,Medium,In - Progress,77%,Phase 3 - Plan,2021,3,3/1/2021,6/1/2021
"Fierce, Inc.","While Traditional Marketing Approaches Have Never Been More Expensive, Is A Solution For Founders Who Want To Win At Content Marketing. Our Team Of Experienced Marketers Has Created A Proprietary Algorithm, Which Is Continuously Learned And Improved.",COST REDUCTION,Brenda Chandler,North,Warehouse,4557606,9014448,High,Completed,100%,Phase 5 - Measure,2021,4,4/1/2021,7/1/2021
Mo-Money Masterclass,Associations Now Helps It Departments And Association Leaders Stay Ahead Of The Cyber-Threat Tidal Wave With Customized Security Solutions And Cybersecurity Strategies. Our Customers Include Is The Boards Of Governors Of The Most Famous And Influential Associations In The World.​​,WORKING CAPITAL IMPROVEMENT,Yael Wilcox,West,Warehouse,3190009,8674613,High,Completed,100%,Phase 1 - Explore,2021,4,4/1/2021,7/1/2021
Town Hall Meeting,"Was Founded By A Group Of Marketers Who Were Tired Of Relying On Content Creation Scripts And Templates, And Wanted To Run A Business With The Perfect Balance Of Creativity And Efficiency. We Believe That Automation Is The Key To Optimizing The Way We Create And Consume Content And We Want To Give Founders And Marketers The Same Tools We Use To Scale Our Own Content Marketing Efforts.",COST REDUCTION,Nyasia Hunter,North,eCommerce,3442649,9070797,Low,Completed,100%,Phase 2 - Develop,2021,5,5/1/2021,8/1/2021
Yosemite,You Are Leading Upstart On A Journey To Build Your Company. That Where The Journey Ends. Let Get You Over The Hump. We Are Just Two Industry Veterans Busy Building Our Own Company. We Know What It Like.,WORKING CAPITAL IMPROVEMENT,Kamari Norris,South,Supply Chain,3475275,8994585,Low,On - Hold,90%,Phase 4 - Implement,2021,5,5/1/2021,8/1/2021
Disruptor Training,"Associations Now Provides A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation. Our Easy-To-Use Platform Makes It Easy Setup, Test, And Publish Content For Your Business.",INCOME GENERATION,Yael Wilcox,South,Admin & BI,3508173,8762992,High,On - Hold,75%,Phase 5 - Measure,2021,5,5/1/2021,8/1/2021
A Salute To New Workers,"Every Year, Entrepreneurs And Startups Write Thousands Of Blog Posts And Press Releases. Those Who Succeed See Their Search Traffic And Revenue Skyrocket, While Those Who Fail Either Give Up Or Waste Tons Of Time And Money. Enables You To Run Ahead Of The Competition By Optimizing Content, And Generating Content For You At Scale.",WORKING CAPITAL IMPROVEMENT,Aleena Khan,West,eCommerce,2534102,9072551,Medium,In - Progress,93%,Phase 3 - Plan,2021,5,5/1/2021,8/1/2021
Robust Routine,"In A Space Where A Huge Space For Play Is Created, Market Leaders Can Easily Die Out. To Maintain A Competitive Edge, You Need Marketing Trends That Help You Grow Your Audience, Grow Your Brand, And Grow Your Bottom Line. Associations Now Is The Marketing Tool Of Choice For Founders Who Want To Win.",PROCESS IMPROVEMENT,Yael Wilcox,South,Warehouse,5130016,9165877,Low,Cancelled,73%,Phase 4 - Implement,2021,5,5/1/2021,8/1/2021
Passion Chasers,"Is A Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation. Technology \N \N Ai-Powered Content Management System For Cmos",COST REDUCTION,Brenda Chandler,South,Supply Chain,5953512,8586905,Medium,Cancelled,89%,Phase 2 - Develop,2021,6,6/1/2021,9/1/2021
Switch And Swift,"We Do All The Content For You, And We'Re Obsessively Committed To Making Sure You Win. We'Re Like A Startup In A Big Company.",PROCESS IMPROVEMENT,Deacon Delacruz,North,eCommerce,4170710,8848636,High,Cancelled,72%,Phase 5 - Measure,2021,6,6/1/2021,9/1/2021
The Guy With Codes,"Is A Platform That Helps You Generate Scalable Content That Converts. ’S Ai Engine Allows You To Create Content That Will Outperform Competitors, Build Brand Awareness, And Maximize Conversions.",WORKING CAPITAL IMPROVEMENT,Jaylyn Mckenzie,South,Warehouse,3472986,9125362,Medium,Completed,100%,Phase 4 - Implement,2021,7,7/1/2021,10/1/2021
Hex Clan,"Allows Founders To Focus On What’S Important, Namely Their Core Business. Ai Takes The Work Out Of Determining Who Should Win The Content Marketing Battle, While ’S Proprietary Technology Help Founders Speed Their Content Production By Identifying Actionable Insights From Content Analysis.",PROCESS IMPROVEMENT,Jaylyn Mckenzie,South,eCommerce,3478794,8846264,Medium,Cancelled,82%,Phase 2 - Develop,2021,7,7/1/2021,10/1/2021
Limitless Horizons,Outside Offers A Solution For Founders Who Want To Win At Content Marketing—We Help You Create Optimized Content Faster And More Effectively With State Of The Art Ai Generation.,WORKING CAPITAL IMPROVEMENT,Jaylyn Mckenzie,South,Admin & BI,4413449,8547257,High,Completed,100%,Phase 4 - Implement,2021,8,8/1/2021,11/1/2021
The Wonders Of Geek,"Is Superior At What It Does. One Examination Of Our Databases Shows Us That, On Average, Competitors Create Content An Average Of 10 Days Before Us. With Our Ai At Work, That Gap Shrs To 2 Days.",INCOME GENERATION,Kamari Norris,South,Admin & BI,3440225,8761979,High,In - Progress,91%,Phase 3 - Plan,2021,9,9/1/2021,12/1/2021
Sputnik,"How Do Asos, Walmart, And Lululemon Do It? They Are All Wildly Successful Brands On The Internet Because They Are Constantly Pushing Out Content For Their Target Audience. However, With The Rise Of Ad Blockers, This Has Become Harder And Harder For The Average Internet Marketer To Achieve. Was Created To Provide An Answer! Uses Ai To Analyze The Competition For Your Topic And To Help You Create The Perfect Content Faster.",INCOME GENERATION,Kamari Norris,East,Warehouse,2900355,8979944,High,In - Progress,84%,Phase 1 - Explore,2021,10,10/1/2021,1/1/2022
Annual Award Show,"’S Online Content Marketing Solution Gives Content Creators The Power To Create Optimized Content Faster. With Our Sophisticated Ai Technology, It Is Easy To Reach An Audience Of Relevant, Interested People Without Spending Endless Hours On Content Development.",PROCESS IMPROVEMENT,Aleena Khan,East,Admin & BI,5505123,9088011,High,Completed,100%,Phase 3 - Plan,2021,10,10/1/2021,1/1/2022
Active Achievement,Helps Founders And Marketers Generate Better Topics And Content For Their Organization. We’Re A Software As A Service That Helps Organizations Compete Against Other Organizations By Leveraging Ai And Unique Algorithms To Provide Unique Points Of Differentiation And Competitive Edge.,INCOME GENERATION,Deacon Delacruz,North,Admin & BI,2548471,9025609,Low,Cancelled,78%,Phase 5 - Measure,2021,11,11/1/2021,3/1/2022
Static Startup,"If You Are Making Less Than $50,000 With Your Startup Company, You’Re In Luck. Companies Who Are Making Less Than That Are Eligible For The Associations Now Program. Associations Now Is An Algorithm That Helps Startups Find Niche Or Narrow Topics That Are Related To Your Industry Or Target Audience. It Is Like Word Of Mouth Marketing, But You Pay For It!",COST REDUCTION,Jaylyn Mckenzie,East,Admin & BI,5869643,8802862,High,Completed,100%,Phase 3 - Plan,2021,12,12/1/2021,3/1/2022
The Successful Project,"Our Content Automation Is 100% Customizable--Creating High Quality Content, With Optimized Structure, That Is Shared Across All Social Media Channels. We Automatically Generate Content For You By Scanning The Sites Of Your Competition--Allowing You To Never Be Caught Off Guard Again. Additionally, Offers A Service That Will Help You Generate The Content For Your Site--So You Can Spend More Time Growing Your Brand, And Less Time On Content Creation.",WORKING CAPITAL IMPROVEMENT,Deacon Delacruz,East,Supply Chain,5974815,8973631,Low,Cancelled,86%,Phase 5 - Measure,2022,1,1/1/2022,5/1/2022
Excalibur Training,"Attention, Founders. We Automatically Generate Content For You By Scanning The Sites Of Your Competition--Allowing You To Never Be Caught Off Guard Again. Additionally, Offers A Service That Will Help You Generate The Content For Your Site--So You Can Spend More Time Growing Your Brand, And Less Time On Content Creation.",INCOME GENERATION,Brenda Chandler,West,Sales and Marketing,3814857,8529903,Low,Cancelled,84%,Phase 5 - Measure,2022,2,2/1/2022,6/1/2022
Enter Coding,"Registered As An Llc, Company Is Working To Match Your Brand With The Perfect Audience.",PROCESS IMPROVEMENT,Nyasia Hunter,South,Warehouse,2871386,8694563,Low,In - Progress,86%,Phase 2 - Develop,2022,3,3/1/2022,6/1/2022
Code Poltergeists,"We Promised Our Founders A High-Quality Product, A Profitable Business, And A Successful Startup Dealing With A Hot Issue Or Pain Point. We Also Promised That Today’S Top Brand Content Marketers Would Have A Tough Time Beating Our Products. That’S Why We Created Incker, A Unique Ai Solution That Can Generate Content Your Audience Will Never Get Enough Of.",INCOME GENERATION,Aleena Khan,North,Warehouse,3201907,8800186,High,Cancelled,77%,Phase 4 - Implement,2022,3,3/1/2022,6/1/2022
Great Leadership,"Is For Founders With Content Marketing On Their Minds. Imagine Being Able To Find Your Targeted Customer On Instagram In Seconds, Share Your Content On The Same Platform Automatically, And Then Use These Insights To Create New Metrics Based On Your Audience’S Engagement.",INCOME GENERATION,Aleena Khan,West,Admin & BI,5609775,9084256,High,Completed,100%,Phase 3 - Plan,2022,4,4/1/2022,7/1/2022
Charged By Codes,’S Marketing Solution Is Smart Marketing Software That Helps Founders Find Their Audience And Reach The Influencers That Could Launch Their Brand.,PROCESS IMPROVEMENT,Yael Wilcox,South,eCommerce,5044306,8752182,Low,Completed,100%,Phase 1 - Explore,2022,4,4/1/2022,7/1/2022
Center For Creative Coding,"Intelligently Creates Seed Content For You With Immediate Impact, So You Can Spend Less Time On Content That Works. Uses Deep Understanding Of The Editorial Calendars Of The Most Influential Publishers In The World To Push The Right Content To The Right People. We Use Ai To Analyze Your Competitors, So You Can Begin To Dominate With Content Marketing.",PROCESS IMPROVEMENT,Yael Wilcox,North,eCommerce,2931685,8971678,Medium,On - Hold,77%,Phase 1 - Explore,2022,4,4/1/2022,7/1/2022
The Principal Of Change,"Is The Solution For Founders Who Want To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help You Create Optimized Content Faster With State Of The Art Ai Generation.",WORKING CAPITAL IMPROVEMENT,Kamari Norris,North,Sales and Marketing,3730999,8715081,Medium,In - Progress,77%,Phase 1 - Explore,2022,4,4/1/2022,7/1/2022
Orange Leaders,"Is A Solution For Brands And Bloggers To Win At Content Marketing. We Use Proprietary Ai To Analyze The Competition For Your Topic, And To Help Create Optimized Content Faster, With State Of The Art Ai Generation. Unlike Machine Learning Which Takes Days For Results, Delivers Content In Less Than 2 Hours.",INCOME GENERATION,Aleena Khan,North,Admin & BI,4502248,9011638,Medium,In - Progress,77%,Phase 5 - Measure,2022,5,5/1/2022,8/1/2022
Associations Now,"Is A Start-Up That Is Changing The Way We Th About Content Marketing. From Your Ideation Phase To Content Creation To Post-Launch Optimization, We Help You Compete In A Competitive Market By Optimizing The Content In Realtime And Inefficiencies And Inefficiencies And Inefficiencies And Inefficiency Inefficiency Inefficiency Inefficiencies.",WORKING CAPITAL IMPROVEMENT,Nyasia Hunter,East,Sales and Marketing,2450782,8470209,Medium,On - Hold,91%,Phase 5 - Measure,2022,6,6/1/2022,9/1/2022
Coding Region,"Is Built For Entrepreneurs And Creators Who Want To Beat Their Goals And Win At Content Marketing. With State Of The Art Ai Capabilities, We’Ve Developed A Proprietary Engine That Helps You Create Your Optimized Objective Content Faster Than Ever Before, And It’S Without Any Employees. Simply Plug In The Topic Of Your Choosing And Let Our Ai Do The Rest.",PROCESS IMPROVEMENT,Deacon Delacruz,North,Supply Chain,3718103,9127150,Low,Cancelled,87%,Phase 1 - Explore,2022,6,6/1/2022,9/1/2022
"Linkage, Inc.","Rebranding Is An Art, And Associations Now Is Your Main Tool. Engage New Customers And Keep Existing Ones With Custom-Tailored And Personalized Content And Experiences And An Easy-To-Use Interface.",INCOME GENERATION,Brenda Chandler,West,eCommerce,5913478,9096409,Medium,Cancelled,74%,Phase 1 - Explore,2022,6,6/1/2022,9/1/2022
The Success,5-15% Of Your First Product Sale Is The Payback.,INCOME GENERATION,Yael Wilcox,South,eCommerce,2631019,8584025,Low,Completed,100%,Phase 3 - Plan,2022,7,7/1/2022,10/1/2022
Yoda,"A New Method For Creating Content Is On The Horizon. Instead Of Grinding Away At A Text Editor, Is A Brand New Solution For Founders Who Want To Win At Content Marketing. By Using A Proprietary Ai, Analyzes The Competition For Your Topic Online Based On The Density Of Articles (Seo), Average Length (Ltv), Content Analysis (Average Article Quality), And Other Popular Ranking Factors To Act As Your Content Marketing Coach. This Means You Can Create Optimized Content Faster With State-",COST REDUCTION,Yael Wilcox,North,Admin & BI,5859707,8697391,Medium,In - Progress,80%,Phase 4 - Implement,2022,7,7/1/2022,10/1/2022
Match Of Health,Quickly Identify Who Your Competition Is On Any Given Topic-Using Ai Learn How To Create Optimal Content Faster With State Of The Art Ai Generation-Compete On Topics Across Industries-Discover What Content Works,COST REDUCTION,Kamari Norris,West,eCommerce,4172827,8942009,High,In - Progress,75%,Phase 1 - Explore,2022,7,7/1/2022,10/1/2022
Yaeger,"""15 Five"" Is The World Most Sophisticated Content Marketing Ai Engine. We Bundle Our Ai With Our Service To Help Companies Climb Up The Middle.",INCOME GENERATION,Aleena Khan,East,Supply Chain,4249668,8548973,Low,In - Progress,89%,Phase 1 - Explore,2022,8,8/1/2022,11/1/2022
Fast & Creative Gang,"Completely Transform How Your Content Marketing Is Done. No Waiting, No Stressing, No More Out-Of-Date Content. We Make Content Strategy Accessible To Everyone. Our Artificial Intelligence (Ai) Platform Tells You What Content To Create, When To Create It, And How To Get Results. You Get Better Results, Happier Founders, And Get Positive Roi At The Same Time.",PROCESS IMPROVEMENT,Aleena Khan,North,Supply Chain,3156318,9111026,Medium,Completed,100%,Phase 3 - Plan,2022,8,8/1/2022,11/1/2022
The Coding Expert,"Hipaa-Compliant, Compliance Analytics. Automated Data Collection. Robust Web-To-Print.",PROCESS IMPROVEMENT,Yael Wilcox,East,Warehouse,3978102,8488880,Medium,In - Progress,79%,Phase 5 - Measure,2022,8,8/1/2022,11/1/2022
No-Bull Bootcamp,"Is The Only Ai-Enabled Content Marketing Tool That Helps Founders Win At Content Marketing. Built By Marketers For Marketers, Our Proprietary Ai Technology Analyzes The Competition For Specific Topics, And Our Content Generation Engine Provides State Of The Art Ai-Generated Content For Maximum Impact.",COST REDUCTION,Kamari Norris,West,Admin & BI,2745999,8567877,Low,Cancelled,88%,Phase 4 - Implement,2022,9,9/1/2022,12/1/2022
Search Engine Master,"Associations Now Is A Fully-Nightly, Optimized Content Marketing Platform That Won'T Just Create The Perfect Page For Your Associations, It'Ll Beat Anything Else Out There.",WORKING CAPITAL IMPROVEMENT,Jaylyn Mckenzie,West,eCommerce,3787473,8726782,Medium,Cancelled,77%,Phase 1 - Explore,2022,9,9/1/2022,12/1/2022
School Leadership 2.0,"Want To Win At Content Marketing? Is Here To Help. We Give You The Capability To Output Highly-Optimized, Contextual Content Through Ai-Generated Content In Minutes. You Can Build In Content In Minutes Without Having To Even Write Anything. Our In-House Ai Takes Care Of The Optimizing Of All Your Content For Your Industry And Audience.",COST REDUCTION,Kamari Norris,West,Supply Chain,4497364,9022111,High,Completed,100%,Phase 2 - Develop,2022,10,10/1/2022,1/1/2023
The Experienced Dude,"Gets You Up And Running Quickly By Creating A Compelling Content Plan For You Including A Depth Of Content, How To Optimize It, And A Detailed Budget.",INCOME GENERATION,Aleena Khan,South,Warehouse,5570834,8429375,Low,In - Progress,75%,Phase 4 - Implement,2022,10,10/1/2022,1/1/2023
Evening Shindig,"Is A Completely Different Way Of Creating Content\N\Nai Generates As-Human-Ly As Possible. In Seconds, Your Topics Become Insanely Crisp, Resonating With Your Target Audience. Allowing You To Spend Hours More Writing And Refining That Perfect Copy, Rather Than Squinting At A Spreadsheet And Grasping At Straws. Our App Empowers You To Share And Sell Your Content And Goes Behind The Scenes To Help You Understand Your Products And Services, And More Importantly Your Products And Services",WORKING CAPITAL IMPROVEMENT,Kamari Norris,East,Supply Chain,3472531,9084736,Low,Cancelled,83%,Phase 3 - Plan,2022,11,11/1/2022,3/1/2023
The Morning Ceremony,Lead With Content Optimization Plans In Place In Advance Of Your Next Pr Push. Helps Your Media Team Create Content In Advance Of Your Next Pr Push. The Ai Helps You Optimize For Future Content In Order To Win In The Game Of Content Marketing.,WORKING CAPITAL IMPROVEMENT,Jaylyn Mckenzie,South,Supply Chain,4802423,8780231,High,In - Progress,77%,Phase 5 - Measure,2022,11,11/1/2022,3/1/2023
Mentee To Mentor,"Content Is A Cornerstone Of Modern Building A Communications Strategy. It Informs And Engages Audiences, And Serves Consumers Well. However, A Seldom-Addressed Challenge For Marketers Is Building A Consistent Brand Based On Consistent Content That Stands Out With Consumers.",INCOME GENERATION,Nyasia Hunter,West,Admin & BI,5072095,8665889,Low,On - Hold,80%,Phase 4 - Implement,2022,11,11/1/2022,3/1/2023
The Code Honors,"Is The World First Content Marketing Platform Built For Founders And Other Small-To-Medium-Business Organizations. Using Proprietary Ai, We Use Ai Technology To Power Content Marketing For Our Entrepreneurs And Smbs. Get Your Roi With Smart Content Marketing And Your Business Will Never Be The Same",WORKING CAPITAL IMPROVEMENT,Brenda Chandler,East,Warehouse,5896885,8539690,Medium,Cancelled,88%,Phase 3 - Plan,2022,12,12/1/2022,3/1/2023
Road-To-Success Workshop,"Works With You To Win. You Can Get Started With 10 Days Free Trial.\N-Works With Any Size Company, No Matter Your Size\N-All Features Are Accessible From Our Wordpress Plugin",COST REDUCTION,Brenda Chandler,North,Admin & BI,4646988,9006076,Medium,Completed,100%,Phase 2 - Develop,2022,12,12/1/2022,3/1/2023
